gold_label,sentence1_jeju,sentence2_jeju,ai_answer,result
neutral,"여든네 살 먹은 여자 환자인디, [**8-27**]날에 심장동맥우회술(CABG)을 받았고(왼쪽 내흉동맥-전방하행지, 대동맥궁-외측한계동맥), 심부전증이랑 말기 신부전증 때문에 투석 받고 있구요, 2형 당뇨병이랑 상실성 심방세동도 앓고 있수다. 다른 병원에서 심장 카테터 검사 받으래 이리 왔수다.",그 여자는 담배 피웠던 적이 있수다.,,
entailment,"-네 살 때 (스물다섯 해 전) 쓸개 기형 수술 허고 간이식 [**월/년 (2) **] -관리 잘 되는 천식 -오른쪽 고관절 무혈성 괴사, 정형외과 말로는 인공 고관절 수술해야 될 수도 있다 함 -감염 후 사구체신염 때문에 콩팥 생검 [**2629-8-4**] 해보난 IgG 지배성 출혈성 증식성 GN이 나와서, 감염 후 사구체신염이라 함 -신증후군 (단백뇨 4.1g), 저알부민혈증 -작은창자 잘라내는 수술",환자는 아픈 디가 여러 군데 있수다.,,
contradiction,"-네 살 때 (스물다섯 해 전) 쓸개 기형 수술한 적 있는 쓸개 폐쇄증 -관리 잘 되고 있는 천식 -정형외과 말로는, 오른쪽 고관절 무혈관성 괴사 때문에 인공 고관절 수술해야 될 수도 있다 함 -감염 후 사구체신염 때문에 콩팥 생검한 적 있음 [**2629-8-4**]. IgG 지배적인 출혈성 증식성 사구체신염이 나왔는디, 이거는 감염 후 사구체신염이랑 같다고 함 -단백뇨증 (4.1g 단백뇨)이랑 저알부민혈증이 있는 신증후군 -작은창자 잘라내는 수술한 ",환자는 건강한 아이우다.,,
neutral,"-네 살 때 (스물다섯 해 전) 쓸개 기형 수술한 적 있는 환자 -관리 잘 되고 있는 천식 -오른쪽 고관절 무혈관성 괴사, 정형외과 말로는 인공 고관절 수술해야 될 수도 있다 함 -감염 후 사구체신염, 콩팥 생검 해보난 IgG 우세성 축농성 증식성 사구체신염이 나와서, 감염 후 사구체신염이랑 같다고 함 -신증후군 (단백뇨 4.1g), 저알부민혈증 -작은창자 잘라내는 수술한 적 있음",환자는 날 때부터 있던 병이 있수다.,,
entailment,"간부전 - 뇌병증 앓았던 적 있음, 기록에는 조직검사 결과가 없음 당뇨병 2형 - 인슐린 안 쓰는 거 심부전증 PSA 수치 높음 췌장염 양성 PPD 알코올성 심근병증",환자는 앓았던 병이 여러 가지 있수다.,,
contradiction,"간부전 - 뇌병증 앓았던 적, 기록에는 생검 결과 없음 2형 당뇨병 - 인슐린 안 쓰는 거 심부전증 PSA 수치 높음 췌장염 양성 PPD 알코올성 심근병증",환자 애 기능은 괜찮수다.,,
neutral,"간부전 - 뇌병증 앓았던 적 있고, 기록에는 조직검사 결과를 못 찾겠음 당뇨병 2형 - 인슐린 안 쓰는 거 심부전증 PSA 수치 높음 췌장염 PPD 양성 알코올성 심근병증",환자는 술꾼입주.,,
entailment,"어제 그 남자는 HD 때문에 검사 받았고, 실험실에서 검사했수다. 보고서 보난 Hgb 수치가 7.2로 나왔수다.",그 남자는 빈혈입주.,,
contradiction,"어제 그 남자는 HD 때문에 검사 받았고, 실험실에서 피 뺐수다. 보고서 보난 Hgb 수치가 7.2로 나왔수다.",그 남자 헤모글로빈 수치는 정상 범위 안에 있수다.,,
neutral,"어제 그 남자는 HD 검사 받으래 병원에 왔고, 피 검사했수다. 보고서 보난 Hgb 수치가 7.2로 나왔수다.",그 남자는 피곤해햄수다.,,
entailment,환자가 요새 살 빠진 게 확인됐수다.,환자가 살이 빠지고 있수다.,,
contradiction,환자가 요새 살 빠진 게 확인됐수다.,환자가 살이 찌고 있수다.,,
neutral,환자가 요새 살 빠진 게 확인됐수다.,환자가 암이라고 진단 나왔수다.,,
entailment,"그 사름은 열 남, 베릿병, 가슴 아픔, 기침, 우터레 숨쉬는 증상, 아니믄 오줌 눌 때 아픈 거 닮은 아무 증상도 어떵 햄수다.",환자는 감염 증상이 어수다.,,
contradiction,"그 사름은 열 남, 베릿병, 가슴 아픔, 기침, 우터레 숨쉬는 디 감염 증상, 아니믄 오줌 눌 때 아픈 거 닮은 걸 전혀 겪어본 적 어떵 햄수다.",환자는 우터레 숨쉬는 디 감염을 앓고 이수다.,,
neutral,"그 사름은 열 남, 베릿병, 가슴 아픔, 기침, 우터레 숨쉬는 증상, 아니믄 오줌 눌 때 아픈 거 닮은 걸 전혀 겪어본 적 어떵 햄수다.",환자는 폐렴을 앓고 있지 안햄수다.,,
entailment,"환자는 오른쪽 다리 맥 풀리는 거하고 말 토막 찾는 거 힘든 걸 자꾸 말허멍, 이 증상이 요 이삼일 사이에 새로 생겼덴 고람수다.",환자한티는 급성 신경학적 소견이 이수다.,,
contradiction,"환자는 오른쪽 다리 맥 풀리는 거하고 말 토막 찾는 거 힘들어 허멍, 그 여자 말로는 이게 이삼일 사이에 새로 생긴 증상이랜 자꾸 고람수다.",환자 신경학적 검사 결과는 정상이라 마씀.,,
neutral,"환자는 오른쪽 다리 맥 풀리는 거하고 말 토막 찾는 거 힘든 걸 자꾸 말허멍, 그 여자 말로는 이게 요 이삼일 동안 새로 생긴 증상이랜 햄수다.",환자는 뇌졸중을 앓고 이수다.,,
entailment,"환자는 입원허기 일주일 전까지는 보통 때처럼 지내다가, 피곤허고 어지러운 걸 느끼기 시작허멍 자기 의사한티 상의했수다.",환자한티 새로 몸이 약해지는 증상이 나타났수다.,,
contradiction,"환자는 입원허기 일주일 전까지는 보통 때처럼 건강하게 지내다가, 피곤허고 어지러운 걸 느끼기 시작허멍 자기 의사한티 상의했수다.",환자는 만성 증상이 이수다.,,
neutral,"환자는 입원허기 일주일 전까지는 보통 때처럼 건강하게 지내다가, 피곤허고 어지러운 걸 느껴서 자기 의사한티 찾아갔수다.",환자는 심부전증을 앓고 이수다.,,
entailment,"열, 오한, 가슴 아픈 거, 베릿병은 어떵 햄수다.",환자는 열 기운이 어수다.,,
contradiction,"열, 오한, 가슴 아픈 거, 베릿병은 어떵 햄수다.",환자는 열이 이수다.,,
neutral,"열, 오한, 가슴 아픈 거, 베릿병은 어떵 햄수다.",환자는 감염 증상이 어수다.,,
entailment,"전디에 고혈압, 고지혈증이 있었고, 어쩌믄 일과성 뇌허혈 발작(TIA)도 있었수다. 새로 생긴 심방세동(Afib)이 있는디, 이건 일주일 전에 생긴 거라마씀.",환자는 여러 가지 만성 질환을 앓고 이수다.,,
contradiction,"전디에 고혈압, 고지혈증, 어쩌믄 일시적 뇌허혈 발작이 있었고, 요새 새로 생긴 심방세동(일주일 전)이 이수다.",환자 심박수는 정상이라 마씀.,,
neutral,"전디에 고혈압, 고지혈증, 어쩌믄 일시적 뇌허혈 발작이 있었고, 요새 새로 생긴 심방세동(일주일 전)이 이수다.",환자는 엠볼릭 뇌졸중 위험성이 이수다.,,
entailment,"태아 선별 검사: [**월/일 (4) **] O형 음성, 항체 음성, 루벨라 면역, RPR 비반응성, B형 간염 표면 항원 음성, 그룹 베타 연쇄구균 상태 확인 안 됨.",환자 태아 선별 검사 결과가 음성이라 마씀.,,
contradiction,"태아 선별 검사: [**월/일 (4) **] O형 음성, 항체 음성, 루벨라 면역, RPR 비반응성, B형 간염 표면 항원 음성, 그룹 베타 연쇄구균 상태 확인 안 됨.",어멍이 매독에 걸렸수다.,,
neutral,"산전 검사 결과: [**월/일 (4) **] O형 음성, 항체 부정, 풍진 면역, 매독 반응 어슴, B형 간염 표면 항원 부정, 그룹 베타 연쇄구균 상태 확인 안 됨.",달이 다 찼수다.,,
entailment,그 연구허는 중에 환자는 갑자기 폐부종이 생겨서 모르핀하고 라식스로 치료를 해야 했수다.,그 여자는 이뇨제로 치료를 받았수다.,,
contradiction,그 연구허는 중에 환자는 갑자기 폐부종이 생겨서 모르핀하고 라식스로 치료가 필요하게 됐수다.,환자는 숨쉬는 디 아픈 증상이 하나도 나타나지 안했수다.,,
neutral,"그 연구 허는 중에, 환자는 급성 폐부종이 생겨서 모르핀허고 라식스로 치료해야 했수다.",그 여자는 숨 쉬기 힘들어지기 시작했수다.,,
entailment,"현장에서, 환자 눈동자는 천천히 2-3mm 움직여도 반응은 했고, 심박수는 100, 숨 쉬는 횟수는 4번, 들어지는 혈압은 없었수다. 환자는 얼굴이 허옇고, 몸이 차갑고, 땀이 많이 났수다.",환자 숨쉬는 속도가 느리우다.,,
contradiction,"현장에서, 환자 눈동자는 느려졌어도 반응은 있었고, 크기는 2-3mm였수다. 심박수는 100번, 숨 쉬는 횟수는 4번, 청진기로는 혈압을 들을 수가 없었수다. 환자는 얼굴이 허옇고, 몸이 차고, 땀이 많이 났수다.",환자 몸 검사 결과는 정상이우다.,,
neutral,"현장에서, 환자 눈동자는 천천히 2-3mm 움직여도 반응은 했고, 심박수는 100, 숨 쉬는 횟수는 4번, 들어지는 혈압은 없었수다. 환자는 얼굴이 허옇고, 몸이 차갑고, 땀이 많이 나고 있었수다.",환자가 약을 너무 많이 먹었수다.,,
entailment,"애기 낳을 때 신생아과 전문의가 없어서, 회복술은 산모허고 애기 받는 간호사들이 시작했수다.",환자는 기본 생명 유지 지원이 필요했수다.,,
contradiction,"애기 낳을 때 신생아과 전문의가 없어서, 회복술은 산모허고 애기 받는 간호사들이 시작했수다.",환자는 애기 낳은 다음에 더 도움이 필요하진 않았수다.,,
neutral,"애기 낳을 때 신생아과 전문의가 없어서, 회복술은 산모허고 애기 받는 간호사들이 시작했수다.",환자는 달 못 채우고 태어났수다.,,
entailment,그 사람은 또 라식스 80mg을 정맥주사로 한 번 맞아서 오줌이 1800cc 나왔수다.,그 사람은 오줌 나오게 허는 약으로 치료 받았수다.,,
contradiction,그 사람은 또 라식스 80mg을 정맥주사로 한 번 맞아서 오줌이 1800cc 나왔수다.,그 사람은 몸에 물이 부족한 상태였수다.,,
neutral,그 사람은 또 라식스 80mg을 정맥주사로 한 번 맞아서 오줌이 1800cc 나왔수다.,그 사람은 심부전증이 있수다.,,
entailment,"2형 당뇨병 인슐린 의존형, 고혈압, 우울증, 관상동맥 우회술 [**3234**] [**Hospital1 251**] 받은 거, 최근 오른쪽 제5 중족골관절 궤양 땜에 피부 이식한 후, 최근 MRSA로 발 궤양허고 골염 앓았던 병력.",환자 혈당 수치가 높수다.,,
contradiction,"2형 당뇨병 인슐린 의존형, 고혈압, 우울증, 심장동맥우회술 [**3234**] [**Hospital1 251**] 받은 적 있고, 최근 오른쪽 제5 중족골관절 궤양 땜에 피부 이식한 후, 최근 발 궤양에서 MRSA허고 골염 앓았던 이력이 있음.",환자는 뼈에 염증 생겼던 적은 없수다.,,
neutral,"2형 당뇨병 인슐린 의존형, 고혈압, 우울증, 관상동맥 우회술 [**3234**] [**Hospital1 251**] 받은 적 있고, 최근 오른쪽 제5 중족골관절 궤양 땜에 피부 이식도 했고, 최근 발 궤양에서 MRSA 감염허고 골염 앓았던 병력이 있수다.",환자는 당뇨병성 신경병증이 있수다.,,
entailment,뇌졸중 앓았던 적 있음.,환자는 뇌졸중 앓았던 적이 있수다.,,
contradiction,뇌졸중 앓았던 적 있음.,환자 뇌 MRI 결과는 아무 이상 없수다.,,
neutral,뇌졸중 앓았던 거.,환자는 편마비가 있수다.,,
entailment,그 여자는 오른쪽 다리 움직이는 게 힘겹수다.,환자는 오른쪽 다리에 문제가 있수다.,,
contradiction,그 여자는 오른쪽 다리 움직이는 걸 힘들어하우다.,환자는 양쪽 다리 다 힘이 5/5였수다.,,
neutral,그 여자는 오른쪽 다리 움직이는 걸 힘들어하우다.,환자는 왼쪽 중뇌동맥경색증을 앓았수다.,,
entailment,환자는 열이 계속 나고 평소보다 더 피곤하다고 말하우다.,환자가 계속 몸이 아프다고 느꼈수다.,,
contradiction,환자는 계속 열나고 평소보다 더 호썰호다고 햄수다.,환자는 아무 증상도 어수다.,,
neutral,환자는 계속 열나고 평소보다 더 많이 피곤호다고 햄수다.,환자는 독감에 걸렸수다.,,
entailment,"그 후에, 그는 [**Hospital3 **]로 옮겨져서 더 검사 받았수다.",그는 치료를 더 받아야 했수다.,,
contradiction,"그 후에, 그는 [**Hospital3 **]로 옮겨져서 더 검사 받았수다.",그는 집으로 퇴원했수다.,,
neutral,그 후에 그는 [**Hospital3 **]로 옮겨져서 더 검사 받았수다.,그는 배 아프다고 햄수다.,,
entailment,딴 병원에서는 신경 변화가 기록된 게 어서수다.,환자 신경 검사 결과는 안정적입주.,,
contradiction,딴 병원에서는 신경 변화가 기록된 게 어서수다.,환자는 신경 검사 결과에 변동이 있수다.,,
neutral,딴 병원에서는 신경 변화가 기록된 게 어서수다.,환자 신경 검사 결과는 정상이우다.,,
entailment,환자는 오늘 아칙에 기관 삽관했던 거 뺐수다.,환자 관을 뺐수다.,,
contradiction,환자는 오늘 아칙에 기관 삽관했던 거 뺐수다.,환자가 관을 끼웠수다.,,
neutral,환자는 오늘 아칙에 관을 뺐수다.,환자는 코에 산소줄 허고 있수다.,,
entailment,환자는 혈압 유지헐라고 여러 가지 혈관 수축제가 필요했수다.,환자는 저혈압이우다.,,
contradiction,환자는 혈압 유지헐라고 여러 개 프레서가 필요했수다.,환자는 고혈압이 있수다.,,
neutral,환자는 혈압 유지헐라고 여러 가지 혈관 수축제가 필요했수다.,환자는 패혈증 쇼크 상태우다.,,
entailment,"그 여자는 보통 네블라이저는 안 쓰는데, 지난 [**1-25**]일 동안 계속 쓰고 있수다. 먹는 것도 줄고, 뭐 먹으면 아랫배가 아팠수다. 오줌 누는 건 괜찮은데, 설사는 더 햄수다.",환자가 숨 쉬는 거를 힘들어햄수다.,,
contradiction,"그 여자는 보통 네브는 안 쓰는데, 지난 [**1-25**]일 동안 계속 쓰고 있수다. 먹는 것도 줄고 아랫배도 아프고, 먹는 약도 먹고 있수다. 오줌 누는 건 괜찮은데, 설사는 더 햄수다.",환자는 안 아프다고 했수다.,,
neutral,"그 여자는 보통 네브는 안 쓰는데, 지난 [**1-25**]일 동안 계속 쓰고 있수다. 먹는 것도 줄고 아랫배도 아픈데, 이건 뭐 먹은 담에 그램수다. 오줌 누는 건 괜찮은데, 설사는 더 햄수다.",환자는 천식이 있수다.,,
entailment,"그 여자는 레보플록사신을 6일 동안 먹었고, 지금은 스테로이드를 줄여가멍 먹고 있수다. 내일이 마지막 날이우다.",환자는 항생제를 먹고 있었수다.,,
contradiction,"그 여자는 레보플록사신을 6일 동안 먹었고, 지금은 스테로이드를 차차 줄이는 중이우다. 내일이 마지막 날이우다.",환자는 항생제 안 먹었수다.,,
neutral,"그 여자는 레보플록사신을 6일 동안 먹었고, 지금은 스테로이드를 차차 줄이고 있수다. 내일이 마지막 날이우다.",환자는 만성폐쇄성폐질환(COPD)하고 폐렴이 있수다.,,
entailment,그 여자는 애기 낳젠 허멍 제왕절개 수술로 이송되었수다.,환자는 질 분만을 못했수다.,,
contradiction,그 여자는 애기 낳젠 허멍 제왕절개 수술로 이송되었수다.,환자는 질 분만 했수다.,,
neutral,그 여자는 애기 낳젠 허멍 제왕절개 수술로 이송되었수다.,환자는 달수에 비해서 큰 애기를 가졌수다.,,
entailment,"그 아줌마는 그 뒤에 대답도 안 허멍, 집안에서 그냥 돌아댕기다 다시 잠들었수다.",환자는 신경심리학적 질환이 있수다.,,
contradiction,"그 여자는 그 뒤에 반응이 없어지멍, 집안에서 그냥 걸어댕기다 다시 잠들었수다.",환자 정신 상태는 괜찮수다.,,
neutral,"그 여자는 그 뒤에 아무 반응도 없게 되곡, 집안에서 그냥 걷다 다시 잠들었수다.",환자는 헛소리 허는 상태우다.,,
entailment,"회향 간 반응, 담낭관은 정상 범위 안에 있수다.",환자는 간 기능이 안 좋수다.,,
contradiction,"호두 간 반응, 담낭관은 정상 범위 안에 있수다.",환자 간 효소 수치는 정상입주.,,
