gold_label,sentence1_jeju,sentence2_jeju,ai_answer,result
contradiction,"º´·Â: [**È¯ÀÚÀÇ ¼º**]Àº ÀÓ½Å 33ÁÖ 6ÀÏ¿¡ ³­ ³²ÀÚ ¾Æ±â·Î ½ÖµÕÀÌ Áß µÑÂ°°í [**2749-6-23**] ¿ÀÈÄ 3½Ã 7ºÐ¿¡ ÀüÄ¡»êÀ¸·Î ÅÂ¾î³µ¼ö´Ù, ÀÓ½ÅÁßµ¶Áõ ¶«½Ã 34»ì G1, ÆÄ¶ó 0ÀÌ´ø, Áö±ÝÀº ¾Æ±â µÎ ¸í °¡Áø ¾î¸ÛÀÌ Á¦¿ÕÀý°³·Î ³º¾Ò°í ¾î¸ÛÀÇ [**ÀÌ¸§ (NI) 2016**]Àº [**2749-8-5**]¼ö´Ù.",È¯ÀÚ´Â ¸¸»èÀÌ¿ì´Ù.,,
neutral,"º´·Â: [**È¯ÀÚ ¼º**]Àº ÀÓ½Å 33ÁÖ 6ÀÏ »ç³»¾ÆÀÌ·Î ½ÖµÕÀÌ Áß µÑÂ°¿©, [**2749-6-23**] ¿ÀÈÄ 03:07¿¡ ÀüÀÚ°£Áõ ¶«½Ã ÀÚ±ÃÀý°³¼ú·Î ³ª¿ÍºÎ·¶¼ö´Ù, ±× ¾î¸ÛÀº 34»ìÀÌ¿©, ÀÓ½ÅÀº ÇÑ ¹ø, ÇØ»êÀº ¿µ ¹øÀÌ¿©, ÀÌ½Ã³­ ÀÚ½Ä µÑ °¡Áø ¿©ÀÚ¿©, [**Name (NI) 2016**]Àº [**2749-8-5**]¼ö´Ù.",È¯ÀÚ´Â ÀúÃ¼ÁßÀ¸·Î ³º¾ÆÁ³¼ö´Ù.,,
entailment,"±× ¾ç¹ÝÀº µÎÅëÀÌ¶û ±¸Åä, ¸Þ½º²¨¿òÀº ¾ö¼ö´Ù°í ºÎÀÎÇß¼ö´Ù.",±×´Â ¸Ó¸® ¾ÆÇÂ °Å ¾ø¼ö´Ù.,,
contradiction,"±× »ç¸§Àº ¸Ó¸®¾ÎÀÌ³ª ÅäÇØ½Å °Å, ¾Æ´Ï¹Î ¸Þ½»ÇØ½Å °Å¸¦ °ÞÀº Àû ŸÁ´ÙÄí´Ù ºÎÀÎÇÜ¼ö´Ù.",±×´Â ÇÇ ÅäÇÏ¹Î ÇÏ¿ì´Ù.,,
neutral,"±× ¾çÀº µÎÅëÀÌ³ª ±¸Åä, ¾Æ´Ï¹Î ±¸¿ªÁúÀ» °Þ¾îº» ÀûÀÌ ¾ø´Ù°í ºÎÀÎÇß¼ö´Ù.",±×´Â ¿­Àº ¾ø¼ö´Ù.,,
entailment,"°ú°Å ÀÇ·á ÀÌ·ÂÀº ÀÎ½¶¸°À¸·Î Ä¡·á Çã´ø 2Çü ´ç´¢, À§½Äµµ ¿ª·ùº´, »þÃ÷Å° ¸µ, [**2948**]³â¿¡ »ý±ä ³úÇ÷°ü »ç°í·Î ³²Àº ¿ÞÂÊ ¹Ý¸¶ºñ¸¦ CoumadinÀ¸·Î Ä¡·á Çãžx°í, ÀÚ±Ã¡¤³­¼Ò ¸ù¶¥ ÀýÁ¦ Çã¿©ºÎ³­ °Å, ¸»ÃÊ Ç÷°üº´, Ãæ¼ö ÀýÁ¦ ÈÄ »óÅÂ, °ü»óµ¿¸Æº´ ¶«½Ã [**9-/2953**]³â¿¡ °ü»óµ¿¸Æ ¿ìÈ¸ ÀÌ½Ä¼úÀ» ÇÏ°î ¿ÞÂÊ ³»Èäµ¿¸Æ¼­´Â ¿ÞÂÊ Àü¹æÇÏ°­µ¿¸ÆÀ¸·Î, ¿À¸¥ÂÊ Á¤¸Æ¼­´Â obtuse marginal 1¹øÀ¸·Î, ¶Ç ¹æ»çµ¿¸Æ¼­´Â µÚ·Î ³»·Á°¡´Â µ¿¸ÆÀ¸·Î ÀÌ½ÄÇØ ºÙ¿©³ù¼ö´Ù.",È¯ÀÚ´Â ¿©·¯ °¡Áö ÀÇ·á ¹®Á¦ °¡Áö°í ÀÖ¼ö´Ù.,,
contradiction,"°ú°Å ÀÇ·á ÀÌ·ÂÀº ÀÎ½¶¸°À¸·Î Ä¡·á ¹Þ¾Ó½Å 2Çü ´ç´¢º´, À§½Äµµ ¿ª·ùÁúÈ¯, »þÃ÷Å° ¸µ, [**2948**]³â¿¡ ³­ ³úÇ÷°ü»ç°í·Î ³²Àº ¿ÞÂÊ ¹Ý¸¶ºñ Áõ»óÀº CoumadinÀ¸·Î Ä¡·á ¹Þ¾Ò¼ö´Ù, ÀÚ±ÃÀÌ¶û ¾çÂÊ ³­¼Ò Á¦°Å¼ú(TAH/BSO), ¸»ÃÊÇ÷°ü ÁúÈ¯, Ãæ¼öÀýÁ¦ ÈÄ »óÅÂ, ±×¸®°í [**9-/2953**]³â¿¡ ½ÉÀåµ¿¸Æ ¿ìÈ¸ ÀÌ½Ä¼ú ¹Þ¾Ó½Å °ü»óµ¿¸Æ ÁúÈ¯ ÀÌ½Åµð ¿ÞÂÊ ³»Èäµ¿¸Æ¼­ ¿ÞÂÊ Àü¹æÇÏ°­µ¿¸ÆÀ¸·Î, ¿À¸¥ÂÊ ´ëÅðÁ¤¸Æ ÀÌ½ÄºÎ¼­ obtuse marginal number oneÀ¸·Î, ¶Ç ¹æ»çµ¿¸Æ¼­ ÈÄ¹æÇÏ°­µ¿¸ÆÀ¸·Î ÀÌ½ÄµÆ¼ö´Ù.",È¯ÀÚ´Â º´·Â ¾ø¼ö´Ù.,,
neutral,"°ú°Å º´·ÂÀº ÀÎ½¶¸°À¸·Î Ä¡·á Çã¿´´ø 2Çü ´ç´¢º´, À§½Äµµ ¿ª·ù ÁúÈ¯, »þÃ÷Å° ¸µ, [**2948**]³â¿¡ »ý±ä ³úÇ÷°ü »ç°í·Î ³²Àº ¿ÞÂÊ ¹Ý¸¶ºñ(Äí¸¶µòÀ¸·Î Ä¡·á Çã°í ÀÖ¼ö´Ù), ÀÚ±Ã/³­¼Ò ÀüÃ¼ ÀýÁ¦¼ú(TAH/BSO), ¸»ÃÊ Ç÷°ü ÁúÈ¯, Ãæ¼öÀýÁ¦¼ú ÈÄ »óÅÂ, ±×¶û [**9-/2953**]³â¿¡ ½ÉÀå °ü»óµ¿¸Æ ¿ìÈ¸ ÀÌ½ÄÀ¸·Î Ä¡·á ¹Þ¾Ò´ø °ü»óµ¿¸Æ ÁúÈ¯À¸·Î ¿ÞÂÊ ³»Èäµ¿¸Æ¼­ ¿ÞÂÊ Àü¹æ ÇÏÇà µ¿¸ÆÀ¸·Î, ¿À¸¥ÂÊ ´ëÅð Á¤¸Æ ÀÌ½ÄÀ¸·Î obtuse marginal number oneÀ¸·Î, ¶Ç ¹æ»çµ¿¸Æ¼­ µÚ·Î ³»·Á°¡´Â µ¿¸ÆÀ¸·Î ÀÌ½Ä Çã¿´¼ö´Ù.",È¯ÀÚ´Â ºñ¸¸ÀÌ¿ì´Ù.,,
entailment,"º¸°í¼­ º¸¹Î ÃÊ±â QTc´Â 410ÀÌ¾ú¼ö´Ù¸¸ ÀÌ½Ã³­ 475¼ö´Ù. ÃÊ±â QRS´Â 82ÀÌ¾ú¼ö´Ù¸¸ ÀÌ½Ã³­ 86ÀÌ±¸, ½É¹Ú¼ö´Â 95¼ö´Ù.",È¯ÀÚ EKG °á°ú ¾ÆÁÖ ÁÁ°Ô ³ª¿Ô¼ö´Ù.,,
contradiction,"º¸°í¼­ º¸³­, ÃÊ±â QTc´Â 410ÀÌ¿´ÁÖ¸¸ Áö±ÝÀº 475ÀÌ¿ì°í, ÃÊ±â QRS´Â 82ÀÌ¿´ÁÖ¸¸ Áö±ÝÀº 86ÀÌ¿ì¸Û, ½É¹Ú¼ö´Â 95ÀÌ¿ì´Ù.",È¯ÀÚÀÇ ½ÉÀüµµ´Â Á¤»óÀÌ¿ì´Ù.,,
neutral,"º¸°í¼­ º¸¹Î, ÃÊ±â QTc°¡ 410ÀÌ´ø ECG´Â Áö±ÝÀº 475¼ö´Ù, Ã³À½¿¡ QRS´Â 82¿´¼ö´Ù, Áö±ÝÀº 86À¸·Î ÃøÁ¤µÆ°í, ½É¹Ú¼ö´Â 95¼ö´Ù.",È¯ÀÚ´Â Çù½ÉÁõ ¾Î°í ÀÖ¼ö´Ù.,,
entailment,"ÀÀ±Þ½Ç¿¡ ¿Í½Å T97 È¯ÀÚ Ç÷¾ÐÀÌ 184/94, ¸Æ¹ÚÀº 92, È£Èí¼ö´Â 24·Î ³ª¿Ô¼ö´Ù, ½Ç³» °ø±â¼± »ê¼ÒÆ÷È­µµ 88%¿´ÁÖ¸¸ NRB ¸¶½ºÅ© ¾º¿öÁÖ¹Î 98%·Î ¿Ã¶ó°¬¼ö´Ù.",È¯ÀÚ´Â ÀÀ±Þ½Ç¿¡¼­ Ç÷¾Ð ³ô¾Ò¼ö´Ù.,,
contradiction,"ED¿¡ µµÂøÇÏ¹Î T 97, BP 184/94, HR 92, RR 24¿´¼ö´Ù, RA »óÅÂ¼± 88%¿´¼ö´Ù¸¸ NRB ¾º¿öÁÖ´Ï 98%·Î ¿Ã¶óºÒ·¶¼ö´Ù.",ÀÀ±Þ½Ç¿¡¼­ È¯ÀÚÀÇ »ýÃ¼ ½ÅÈ£´Â Á¤»ó ¹üÀ§ ¾ÈÀÌ¿ì´Ù.,,
neutral,"ED ¿Í½Åµð T 97, BP 184/94, HR 92, RR 24, RA¼­ 88%¿´¼ö´Ù, NRB¼­ 98%¿ì´Ù.",È¯ÀÚ´Â COPD ¾Î¾Ò´ø Àû ÀÖ¼ö´Ù.,,
entailment,"ºñÈ°¼ºÈ­µÈ ºÎºñµ¿¿°Çã°í Ãµ½Ä, ´Ü¼ø Çì¸£Æä½º¹ÙÀÌ·¯½º-1 [**2572**]",È¯ÀÚ´Â Çì¸£Æä½º ¹ÙÀÌ·¯½º °¨¿° °É·È¼ö´Ù.,,
contradiction,"ºñÈ°¼ºÈ­µÈ ºÎºñµ¿¿° Ãµ½Ä, ´Ü¼øÇì¸£Æä½º¹ÙÀÌ·¯½º 1ÇüÀÌ¿ì´Ù [**2572**]",È¯ÀÚ´Â ¹ÙÀÌ·¯½º °¨¿°·Â °ú°Å ¾ø¼ö´Ù.,,
neutral,"ºñÈ°¼ºÈ­µÇ¾ð ºÎºñµ¿¿°°­ Ãµ½Ä, ´Ü¼ø Çì¸£Æä½º ¹ÙÀÌ·¯½º 1Çü [**2572**]",È¯ÀÚ´Â ÀÔ ÁÖº¯¿¡ Çì¸£Æä½º ¹°Áý »ý°å¼ö´Ù.,,
entailment,¿¾Àû ¾ÎÀº º´: 2Çü ´ç´¢º´.,È¯ÀÚ´Â 2Çü ´ç´¢ ¾Î°í ÀÖ¼ö´Ù.,,
contradiction,°ú°Å º´·ÂÀº 2Çü ´ç´¢º´ÀÌ¿ì´Ù.,È¯ÀÚ´Â 1Çü ´ç´¢ ¾Î°í ÀÖ¼ö´Ù.,,
neutral,¿¾Àû¿¡ ¾Î¾Æ ¿Â °Å: 2Çü ´ç´¢º´ ÀÖ¼ö´Ù.,È¯ÀÚ´Â ÀÎ½¶¸° Ä¡·á ¹Þ°í ÀÖ¼ö´Ù.,,
entailment,"±× »ç¸§Àº Ã³À½¿£ ¼ö¼ú ¹Þ´Â °Å ²¨·ÁÇßÁÖ¸¸, °¡½É ¾ÆÇÂ ¹ßÂ¦ÀÌ ÀÚ±¸ÀÚ±¸ ÇÏ¿µ ´Ã¾î³ª°î ÀÖ¼ö´Ù.",±× »ç¶÷ °¡½¿ ¾ÆÇÂ °Ô Á¡Á¡ ½ÉÇØÁö°î ÀÖ¼ö´Ù.,,
contradiction,"±× »ç¸§Àº Ã³À½¿£ ¼ö¼ú ¹Þ´Â °Å ²¨·ÁÇòÁÖ¸¸, °¡½É ÅëÁõ ¹ßÀÛÀÌ Á¡Á¡ ´Ã¾î°¡°í ÀÖ¼ö´Ù.",±×´Â °¡½¿ ¾ÆÇÂ °Å ¾Æ´Ï·£ Çã¿ì´Ù.,,
neutral,"±× ¾ç¹ÝÀº Ã³À½¿£ ¼ö¼ú ¹Þ´Â °Å ²¨·ÁÇãÁÖ¸¸, °¡½¿¾ÎÀÌ ¹ßÀÛÀÌ Á¡Á¡ ÇÏ¿µ ºÒ¾î°¡°î ÀÖ¼ö´Ù.",±×´Â °ü»óµ¿¸Æ ÁúÈ¯ ÀÖ¼ö´Ù.,,
entailment,"ÀÌ È¯ÀÚ, ¿¹¼ø¿©´ü »ì ÇÒ¸ÁÀÌÁÖ, ¿Õ¿¡ ¸¸¼º ´Ù¿äÀÎ¼º ÆóÁúÈ¯ ¶«½Ã Áý¼­ »ê¼Ò 2¸®ÅÍ ½á ¿Ô¼ö´Ù, ¶Ç ¼±Ãµ¼º ½ÉÀåÁúÈ¯ ¶«½Ã Å« ASD´Â ¼ö¼ú·Î Ä¡·á ¹Þ¾Ò¼ö´Ù, ¶Ç Æó¼â¼º/Á¦ÇÑ¼º ÆóÁúÈ¯ Çã°í ¸¸¼º Æó»öÀüÁõ Çã°í ½ÉÇÑ Æó°íÇ÷¾Ðµµ ¾Î°í ÀÖ¼ö´Ù, ±× Ä¡·á·Î ½Çµ¥³ªÇÊ ¸Ô°í ÀÖ¼ö´Ù, ±Ù½Ã³­ ¼ûÂ÷³­ °Å°¡ Á¡Á¡ ½ÉÇØÁ®°¡°î ÀÖ¼ö´Ù.",È¯ÀÚÀÇ Æó±â´É °Ë»ç °á°ú ÁÁÁö ¾Ê¼ö´Ù.,,
contradiction,"ÀÌ È¯ÀÚ´À ¿¹¼ø¿©´ü »ì ¿©ÀÚ»ç¸§ÀÌ³­ ¸¸¼º ´Ù¿äÀÎ ÆóÁúÈ¯ ¶«½Ã ÇÏ¿µ ³ÒÀº °ú°Å ÀÇ·á ÀÌ·Â ÀÌ½Ã°í Áý¿¡¼ö 2¸®ÅÍ »ê¼Ò Çã¸Û ÀÕ¼ö´Ù, ¼±Ãµ¼º ½ÉÀå ÁúÈ¯ ¶«½Ã Å« ASD(½É¹æÁß°Ý°á¼ÕÁõ) ÀÖ¾úÁÖ¸¸ ¼ö¼ú·Î Ä¡·á ¹Þ¾Ñ°í, ¶Ç ÆóÀÇ Æó¼â¼º¡¤Á¦ÇÑ¼º ÁúÈ¯ÀÌ¶û ¸¸¼º Æó»öÀüÁõÀÌ¶û ½ÉÇÑ Æó°íÇ÷¾Ðµµ ¾Î¾Ó ±× Å¿¿¡ Á¡Á¡ È£Èí°ï¶õÀÌ ½ÉÇãÁ®°¡¸Û, Æó°íÇ÷¾Ð Ä¡·á ÇãÁÖ°Ô ½Çµ¥³ªÇÊ ¸ÔÀ¸¸Û ÀÕ¼ö´Ù.",È¯ÀÚ´Â ¼ûÂ÷´Â Áõ»ó ¾ø¼ö´Ù.,,
neutral,"ÀÌ È¯Á¨ 68»ì ¿©ÀÚ¿©, ¸¸¼º ´ÙÀÎÀÚ¼º ÆóÁúÈ¯¿¡ ´ëÇØ ÇÏ¿µ³­ °ú°Å ÀÇ·á ÀÌ·Âµµ ÀÖ°î Áý¿¡»ç 2¸®ÅÍ »ê¼Ò Åõ¿© ¹ÞÀ¸¸Û Áö³»ÁÖ°í, ¼±Ãµ¼º ½ÉÀåÁúÈ¯ ¶«½Ã Å« ASDµµ ÀÖ¾úÁÖ¸¸ ¼ö¼ú·Î Ä¡·áÇØ³ùÁÖ°Ô, Æó¼â¼º ¹× Á¦ÇÑ¼º ÆóÁúÈ¯ÇÏ°í ¸¸¼º Æó»öÀüÁõ, ½ÉÇÑ Æó°íÇ÷¾Ðµµ ÀÖ¾û ½Çµ¥³ªÇÊ ¸Ô¾ðÇãÁÖ¸Û, Á¡Á¡ È£Èí°ï¶õÀÌ ½ÉÇØÁ® ºÒ¾î ÀÖ¼ö´Ù.",È¯ÀÚÀÇ FEV1 ¼öÄ¡ ³·¼ö´Ù.,,
entailment,"ÇöÀç ÁúÈ¯ °ú°Å·ÂÀ¸³­ ÀÌ È¯ÀÚ´À ´ç´¢º´ÀÌ¶û °íÇ÷¾Ð, °íÁöÇ÷Áõ, ¶Ç ½Ç½Å·Âµµ ÀÌ½Å 86»ì ¿©ÀÚºÐÀ¸·Î [**2777-5-24**]¿¡ ÀÔ¿øÇß¼ö´Ù, ±Ù»õ ÀÌÆ² µ¿¾È ¸» ´õµë¾î½Ã¸Û ¿À¸¥¼ÕÀ¸·Î ¹°°Ç Àâ´Âµð Èûµé¾ú¼ö´Ù, Á¤½Å È¥¶õ »óÅÂµµ º¸¿´¼ö´Ù.",Ç÷¾ÐÀÌ¶û ÄÝ·¹½ºÅ×·Ñ ³ô¾Ò´ø º´·Â ÀÖ¼ö´Ù.,,
contradiction,"Çö ÁúÈ¯ °ú°Å·Â: ÀÌ È¯Á¨ ´ç´¢º´ÀÌ¶û °íÇ÷¾Ð, °íÁöÇ÷Áõ ÀÖ°î ½Ç½ÅÇØº» Àûµµ ÀÖ´Â 86»ì ¿©ÀÚ È¯ÀÚ¿©½Åµð [**2777-5-24**]¿¡ ÀÔ¿øÇß¼ö´Ù, Áö³­ ÀÌÆ² »çÀÌ¶ó ¸»ÀÌ ¶Ç·ÇÇÏÁ¨ ¾È Çã°î ¿À¸¥¼ÕÀ¸·Ð ¹½ Àâ¾ÆÁãÁ¨ Èûµé¾îÁ³¼ö´Ù, Á¤½ÅÀÌ È¥¹ÌÇå °Íµµ º¸¿´¼ö´Ù.",±×³â Á¤»óÀûÀÎ ½Å°æ ±â´É °¡Áö°í ÀÖ¼ö´Ù.,,
neutral,"Áö±Ý º´·Â: ÀÌ È¯ÀÚ ¾î¸£½ÅÀº ¿©µç¿©¼¸ »ì ¿©ÀÚ½Åµð, Àü¿£ ´ç´¢µµ ÀÌ½Ã°î °íÇ÷¾Ðµµ ÀÌ½Ã¸Û °íÁöÇ÷Áõµµ ÀÌ½Ã°í ¶Ç ±î¹«·¯Ä£ Àûµµ ÀÖ¾ù¼ö´Ù, [**2777-5-24**]¿¡ ÀÔ¿ø Çã¿´¼ö´Ù, ±Ùµð ÃÖ±Ù ÀÌÆ² µ¿¾È¿£ ¸»ÀÌ ´õµë¾û ¿À¸¥¼ÕÀ¸·Ò ¹«½Å °Å Àâ´Â °Å½Ã Èûµé°í Á¤½ÅÀÌ È¥¹ÌÇã¸Û È¥¶õÇÑ Áõ»ó °Þ°í ÀÖ¾ù¼ö´Ù.",±×³â ³ú°æ»ö º´·Â ÀÖ¼ö´Ù.,,
entailment,"±×¾çÀº °¡·¡¶û °°ÀÌ ±âÄ§Çã¸Û, °£°£È÷ ÇÇ°¡ ¼¯¿© ³ª¿Íµµ ÇÏ¿µ ÇÇ´Â ¾È ³ª¿É¼ö´Ù.",È¯ÀÚ´Â Æó ÁúÈ¯ °¡Áö°í ÀÖ¼ö´Ù.,,
contradiction,"±× »ç¸§Àº °¡·¡ ³¤ ±âÄ§Çã¸Û, °£°£ÀÌ ÇÇ°¡ ¼¯¿© ³ª¿Õ¸¸, ÇÏ¿µ ÇÇ´Â ¾È ³ª¿É¼ö´Ù.",È¯ÀÚÀÇ Æó´Â Á¤»óÀÌ¿ì´Ù.,,
neutral,"±× ÀÌ´Â °¡·¡ ¼¯ÀÎ ±âÄ§Çã¸Û, °¡²û ÇÇµµ ¼¯ÀÌÁÖ¸¸ ÇÏ¿µ ÇÇ´Â ¾È ³ª¿ÉÁÖ°Ô¸¶¾Â.",È¯ÀÚ´Â °áÇÙ °É·È¼ö´Ù.,,
entailment,"±× »ç¸§Àº ÀÚ±â°¡ ¸»Çã°í ½ÍÀº °Å´Â »ý°¢Çæ ¼ö ÀÖ¾úÁÖ¸¸, ±× ¸»À» ³»¹î´Âµð´Â ¾î·Á¿ò °Þ¾û ÀÖ¾ú¼ö´Ù.",È¯ÀÚ°¡ ¸»Çã´Â µ¥ ¾î·Æ¼ö´Ù.,,
contradiction,"±×´Â ÀÚ±â°¡ Çã°í ½ÍÀº ¸»Àº »ý°¢Çæ ¼ö ÀÖ¾ùÁÖ¸¸, ±× ¸»À» Á¦´ë·Î Ç¥ÇöÇã´Âµð ÇÏ¿µ ¾Ö¸Ô°î ÀÕ¾ù¼ö´Ù.",±×´Â ¸» ÀßÇã¿ì´Ù.,,
neutral,"±× »ç¸§Àº ÀÚ±â°¡ ¸»Çã°í ½ÍÀº °Ç »ý°¢Çæ ¼ö ÀÖ¾ùÁÖ¸¸, ±× ¸»À» Á¦´ë·Î Ç¥ÇöÇã´Âµð ¾î·Á¿ò °Þ°í ÀÖ¾ù¼ö´Ù.",È¯ÀÚ´Â ¾ð¾îÀå¾Ö ÀÖ¼ö´Ù.,,
entailment,"¿©µç³Ý »ì ¿©ÀÚ È¯ÀÚ½Åµð, [**8-27**]¿¡ ½ÉÀåµ¿¸Æ¿ìÈ¸¼ú(CABG; LIMA-LAD, SVG-OM1) ¹Þ¾Ñ¼ö´Ù, ½ÉºÎÀü(CHF)Çã°í ¸»±â ½ÅºÎÀü(ESRD) ¶«½Ã Åõ¼®Ä¡·á ¹Þ°î ÀÖ¼ö´Ù, Á¦2Çü ´ç´¢º´(DMII)Çã°í »ó½Ç¼º ½É¹æ¼¼µ¿(PAF)µµ ¾Î¾Ó ÀÖ¼ö´Ù, ¹Ù±ù º´¿ø¼­ ½ÉÀå Ä«Å×ÅÍ °Ë»ç Çã°Ô ÀÌ¼ÛµÇ¾ú¼ö´Ù.",È¯ÀÚ´Â ¿©·¯ ÀÇ·á »óÅÂ °¡Áö°í ÀÖ¼ö´Ù.,,
